p4_prob,experiment,variant,average_score,average_steps,time_per_step_ms,rate_1024,rate_2048,rate_4096,rate_8192,rate_16384,rate_32768,micro_variance,micro_entropy,micro_depth
0.1,MCTS-State,State MCTS,47815.28,2314.64,193.45818493772086,1.0,0.98,0.42,0.02,0.0,0.0,178.09320767903927,0.43955853066334827,20.0
0.1,MCTS-After,Afterstate MCTS,51971.2,2495.04,207.47764157046566,1.0,0.94,0.52,0.0,0.0,0.0,188.2187920109118,0.4536971199904022,18.0
0.15,MCTS-State,State MCTS,41618.88,1984.7,197.67612018915455,0.98,0.88,0.3,0.0,0.0,0.0,178.73370366056812,0.43238267334891567,19.0
0.15,MCTS-After,Afterstate MCTS,41642.32,2000.98,211.33052509559428,1.0,0.96,0.24,0.0,0.0,0.0,187.89776462577612,0.44455332273546655,18.0
0.2,MCTS-State,State MCTS,39466.24,1813.44,200.36670313045954,0.98,0.86,0.32,0.0,0.0,0.0,181.07237970259052,0.4230330635884376,19.0
0.2,MCTS-After,Afterstate MCTS,43293.6,1974.7,213.152931703996,0.98,0.94,0.38,0.0,0.0,0.0,191.47352468144854,0.4377879483347147,18.0
0.25,MCTS-State,State MCTS,39488.88,1759.6,198.96910844860767,1.0,0.88,0.3,0.0,0.0,0.0,186.99894700998848,0.4127785994621474,20.0
0.25,MCTS-After,Afterstate MCTS,43035.36,1901.08,222.6081315567612,0.98,0.96,0.32,0.0,0.0,0.0,196.48812284443974,0.4285662877997236,21.0
0.3,MCTS-State,State MCTS,36029.6,1579.86,196.29650842352763,1.0,0.9,0.2,0.0,0.0,0.0,187.27466452116133,0.40850507449063506,18.0
0.3,MCTS-After,Afterstate MCTS,32630.4,1448.42,217.38767089721924,1.0,0.8,0.16,0.0,0.0,0.0,193.9000657787109,0.4219200349288185,20.0
0.35,MCTS-State,State MCTS,38603.12,1619.54,206.2022889563347,1.0,0.92,0.26,0.0,0.0,0.0,190.95824788598512,0.39914009176911974,19.0
0.35,MCTS-After,Afterstate MCTS,34885.2,1479.24,225.2949199052769,0.98,0.82,0.26,0.0,0.0,0.0,197.2539260838314,0.41490534563280773,21.0
0.4,MCTS-State,State MCTS,33226.32,1375.32,210.42418268772818,1.0,0.78,0.22,0.0,0.0,0.0,192.86009468166233,0.3952430575000498,19.0
0.4,MCTS-After,Afterstate MCTS,29358.48,1246.16,223.58673366698034,0.98,0.76,0.1,0.0,0.0,0.0,198.21073772388303,0.4078286242820294,21.0
0.45,MCTS-State,State MCTS,28323.6,1181.54,205.3786585491871,1.0,0.72,0.06,0.0,0.0,0.0,192.79388515487724,0.38978503859470104,21.0
0.45,MCTS-After,Afterstate MCTS,29997.12,1223.54,232.27808142232416,0.98,0.74,0.14,0.0,0.0,0.0,199.48890628843372,0.4030826610255882,21.0
0.5,MCTS-State,State MCTS,30646.16,1214.28,209.92650234338728,0.98,0.8,0.12,0.0,0.0,0.0,198.88090300140703,0.3832440582045987,20.0
0.5,MCTS-After,Afterstate MCTS,28516.16,1142.16,228.3843470305386,0.96,0.82,0.06,0.0,0.0,0.0,202.67125607136438,0.3984066336153429,18.0
